faf_state,faf_zone,border_state_1,border_state_2,faf_country,lane_count,capacity,unit_cost,transit_days,reliability,capacity_share,capacity_share_pct
WY,560,WY,NE,USA,20,1113.7065835947,0.16358660770015604,1.0,0.19459775091940268,0.0025440694170486395,0.25440694170486394
GA,132,SC,GA,USA,15,1093.3626834,0.18936952958512737,1.0,0.1428396138889097,0.0024975973075440218,0.24975973075440216
FL,129,FL,AL,USA,59,1079.99426810627,0.1868997923454379,1.0,0.36831688788583156,0.002467059482766683,0.2467059482766683
MN,279,WI,MN,USA,120,1060.75993912837,0.17966834220419983,1.0,0.20399278194825513,0.0024231219961513254,0.24231219961513253
MI,269,IN,MI,USA,39,1048.1239315992,0.1674117488086649,1.0,0.19469382783313655,0.0023942572298097297,0.23942572298097298
VA,513,VA,MD,USA,23,1047.3378929,0.21144314861639996,1.0,0.26310323645886374,0.0023924616608109396,0.23924616608109397
UT,491,UT,NV,USA,10,1024.340692,0.17272452769707186,1.0,0.3583786514297767,0.002339928546300138,0.23399285463001382
IL,179,IL,KY,USA,25,984.7071446658,0.1633530539188903,1.0,0.25759862674933903,0.0022493925854399285,0.22493925854399285
FL,121,FL,GA,USA,18,975.470696139,0.18641832347392018,1.0,0.16835166642874796,0.002228293521678151,0.22282935216781508
KY,219,IL,KY,USA,12,969.649483,0.16253411623124567,1.0,0.26931955883202274,0.0022149959704782195,0.22149959704782196
NE,319,IA,NE,USA,36,957.20574468,0.15915370458982145,1.0,0.34511042072456377,0.002186570409778482,0.21865704097784822
CT,99,RI,CT,USA,70,949.3785326179,0.2331782178111746,1.0,0.1902654490305217,0.0021686905021607414,0.21686905021607414
KY,212,IN,KY,USA,21,921.8581770000001,0.17426315900263306,1.0,0.2313676661492345,0.002105825025647332,0.21058250256473318
TN,473,TN,NC,USA,16,918.5549054100001,0.1770214101287785,1.0,0.2738846515807155,0.0020982792749513093,0.20982792749513093
FL,129,FL,GA,USA,63,914.73977496066,0.1812665574647795,1.0,0.3992701288495565,0.002089564271519356,0.2089564271519356
TN,473,TN,KY,USA,6,914.4770000000001,0.15709769045369526,1.0,0.0,0.0020889640077238207,0.20889640077238208
WA,539,ID,WA,USA,108,869.40066574087,0.18751741715205283,1.0,0.18541740733911544,0.0019859949446774552,0.19859949446774552
MN,271,WI,MN,USA,78,863.97070301744,0.19012380861920022,1.0,0.3556027306326761,0.001973591137154109,0.1973591137154109
DE,101,DE,NJ,USA,4,822.1628,0.19449065502239868,1.0,0.0,0.001878088238074263,0.1878088238074263
SD,460,IA,SD,USA,19,810.646338526,0.1625907969486456,1.0,0.3151678524500527,0.0018517808804091452,0.1851780880409145
IN,181,IN,MI,USA,6,800.54147033,0.1528217827595459,1.0,0.0017948861639459999,0.0018286980626190455,0.18286980626190455
WV,540,WV,KY,USA,143,771.9334317199999,0.19665175099725635,1.0,0.43367283774672477,0.0017633479630672101,0.17633479630672103
OH,391,IN,OH,USA,15,771.52778618,0.18066044511276083,1.0,0.1291206730083764,0.0017624213362270017,0.17624213362270016
PA,421,PA,NJ,USA,45,769.294489417,0.25353209679360533,1.0,0.10760846718959864,0.001757319757339317,0.1757319757339317
ID,160,ID,OR,USA,36,769.0193032019,0.17023291426875908,1.0,0.15784163912191765,0.0017566911421868685,0.17566911421868686
KY,219,WV,KY,USA,85,762.1421005848,0.1782197149891617,1.0,0.3822597787194241,0.0017409813662811367,0.17409813662811366
VT,500,VT,NH,USA,255,757.83965332736,0.22663155045767006,1.0,0.16778636584801887,0.0017311531721702707,0.17311531721702708
OH,392,PA,OH,USA,15,753.96067304824,0.19915791370186078,1.0,0.14512273041607146,0.001722292314882715,0.1722292314882715
CO,89,CO,KS,USA,31,746.28710463784,0.1618164102450752,1.0,0.2858322525625318,0.0017047633795238902,0.170476337952389
CA,69,NV,CA,USA,58,689.6972884511,0.17332293608320054,1.0,0.2710448747301,0.0015754937650690633,0.15754937650690634
OH,399,OH,MI,USA,28,686.34295817,0.1860148567845077,1.0,0.20201140531524014,0.0015678313796539723,0.15678313796539722
CA,69,AZ,CA,USA,4,685.8494,0.1718482993805744,1.0,0.0,0.0015667039316669283,0.15667039316669282
AZ,49,AZ,CA,USA,4,685.8494,0.1718482993805744,1.0,0.0,0.0015667039316669283,0.15667039316669282
MI,261,OH,MI,USA,25,684.82673547,0.18856884391994758,1.0,0.20050499980987138,0.0015643678320218354,0.15643678320218354
NV,329,UT,NV,USA,16,668.47076888,0.17263342498355633,1.0,0.4625160427921332,0.001527005464769249,0.1527005464769249
