forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,segment
2012-04-01,3,12508837271,12523925840.799503,12555165059.38144,train_fitted_2010_2019
2012-05-01,3,13638829321,13595562258.63301,13646262311.991756,train_fitted_2010_2019
2012-06-01,3,13691511869,13594383006.705233,13664725018.986732,train_fitted_2010_2019
2012-07-01,3,13236516471,13233739974.108803,13231823795.39249,train_fitted_2010_2019
2012-08-01,3,13454126348,13500639665.926262,13454994589.536198,train_fitted_2010_2019
2012-09-01,3,13136362011,13131862919.927052,13138103549.37959,train_fitted_2010_2019
2012-10-01,3,13806343142,12998703818.619144,13126260011.484383,train_fitted_2010_2019
2012-11-01,3,12995830345,13064055499.887146,12918395045.220238,train_fitted_2010_2019
2012-12-01,3,12979986874,13007592810.697914,13111390836.797003,train_fitted_2010_2019
2013-01-01,3,13270087181,13114764630.417341,13286829511.529379,train_fitted_2010_2019
2013-02-01,3,12442104437,12536652231.846956,12504956400.219799,train_fitted_2010_2019
2013-03-01,3,13934248352,13548329789.401472,13782315746.340958,train_fitted_2010_2019
2013-04-01,3,13877522014,13826036661.726671,13891216009.881966,train_fitted_2010_2019
2013-05-01,3,14885665265,14506770052.127445,14133125627.818077,train_fitted_2010_2019
2013-06-01,3,14063161830,14102255603.931301,14089448932.093016,train_fitted_2010_2019
2013-07-01,3,14890811919,14531122431.23808,14248299395.545412,train_fitted_2010_2019
2013-08-01,3,14526726621,14665010204.783491,14508537686.317638,train_fitted_2010_2019
2013-09-01,3,15218483480,14892448816.930964,14880469439.137917,train_fitted_2010_2019
2013-10-01,3,15160724733,15068391163.369192,15170915766.755306,train_fitted_2010_2019
2013-11-01,3,13704923064,13563575545.229904,13476335984.144142,train_fitted_2010_2019
2013-12-01,3,13322370066,13385421045.94209,13273802877.263256,train_fitted_2010_2019
2014-01-01,3,12042272680,12444133081.246616,12285591323.997007,train_fitted_2010_2019
2014-02-01,3,12129411973,12216551297.651703,12286518233.203987,train_fitted_2010_2019
2014-03-01,3,13642635317,13645430971.409067,13648560429.011606,train_fitted_2010_2019
2014-04-01,3,14739015105,14677046199.714256,14737749431.668476,train_fitted_2010_2019
