forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,module1_q50_calibrated
2026-02-01,1,,18348725696.85559,18617527998.5728,19019931679.72038
2026-03-01,1,,20622423579.001053,21062823622.97786,19032386371.673313
2026-04-01,1,,19408594655.372723,17748460961.309433,19015505236.50119
2026-05-01,1,,19230945946.026672,18906782344.367367,19021404946.89387
2026-06-01,1,,18798318559.130062,18475487963.274773,19019208223.273247
2026-07-01,1,,18026413534.830215,17608315501.942883,19014791429.75014
2026-08-01,1,,16280177831.295406,16455874294.630732,19008921669.0195
2026-09-01,1,,16279034380.085876,16462596613.358686,19008955907.991726
2026-10-01,1,,15485047719.62738,15755509616.685976,19005354482.20108
2026-11-01,1,,16114786495.20654,16264771896.71056,19007948321.881504
2026-12-01,1,,16301639246.468632,16148838039.951689,19007357832.75682
2012-04-01,3,12508837271.0,12523925840.799503,12555165059.38144,22761704192.445465
2012-05-01,3,13638829321.0,13595562258.63301,13646262311.991756,21855401974.97648
2012-06-01,3,13691511869.0,13594383006.705233,13664725018.986732,21840066227.17765
2012-07-01,3,13236516471.0,13233739974.108805,13231823795.39249,22199648599.830383
2012-08-01,3,13454126348.0,13500639665.926262,13454994589.536198,22014275403.148903
2012-09-01,3,13136362011.0,13131862919.927052,13138103549.37959,22277495800.508442
2012-10-01,3,13806343142.0,12998703818.619144,13126260011.484385,22287333442.965538
2012-11-01,3,12995830345.0,13064055499.887146,12918395045.220238,22459993102.22929
2012-12-01,3,12979986874.0,13007592810.697914,13111390836.797005,22299684281.49883
2013-01-01,3,13270087181.0,13114764630.41734,13286829511.52938,22153958994.812073
2013-02-01,3,12442104437.0,12536652231.846956,12504956400.2198,22803409199.97387
2013-03-01,3,13934248352.0,13548329789.401472,13782315746.340958,21742391398.742367
2013-04-01,3,13877522014.0,13826036661.726671,13891216009.881966,21651935162.972317
2013-05-01,3,14885665265.0,14506770052.127443,14133125627.818075,21450996866.55735
2013-06-01,3,14063161830.0,14102255603.9313,14089448932.093016,21487276204.712254
2013-07-01,3,14890811919.0,14531122431.23808,14248299395.545412,21355329646.39359
2013-08-01,3,14526726621.0,14665010204.783491,14508537686.317638,21139166935.477623
2013-09-01,3,15218483480.0,14892448816.930964,14880469439.137917,20830227863.80302
2013-10-01,3,15160724733.0,15068391163.369192,15170915766.755306,20588973337.549187
2013-11-01,3,13704923064.0,13563575545.229904,13476335984.144142,21996548520.22368
2013-12-01,3,13322370066.0,13385421045.94209,13273802877.263256,22164779357.06053
2014-01-01,3,12042272680.0,12444133081.246616,12285591323.997007,22985621238.855225
2014-02-01,3,12129411973.0,12216551297.651705,12286518233.203987,22984851316.77205
2014-03-01,3,13642635317.0,13645430971.409067,13648560429.011606,21853493081.386925
2014-04-01,3,14739015105.0,14677046199.714256,14737749431.668476,20948775920.7588
2014-05-01,3,14441958963.0,14575116640.984592,14618260995.82393,21048027049.93976
2014-06-01,3,14131294655.0,14129862305.712698,14143985564.826223,21441976236.207016
2014-07-01,3,14115471456.0,14242818506.105104,14065457725.342133,21507204111.070797
2014-08-01,3,15314135510.0,15169390992.81974,14907292269.079489,20807947915.61629
2014-09-01,3,15311949482.0,15312279521.93667,15286154121.620968,20493252469.127636
2014-10-01,3,16135798066.0,15564325118.10355,15752945914.38927,20105519445.44883
2014-11-01,3,13401732288.0,13508889904.455685,13553262251.544468,21932650965.207626
2014-12-01,3,14489462174.0,14476363938.800434,14483981458.46054,21159564167.444176
2015-01-01,3,13320512109.0,13573421343.588367,13314594701.537483,22130896290.536545
2015-02-01,3,12147033380.0,12242809140.246012,12275543253.894386,22993967505.142212
2015-03-01,3,13640767734.0,13678145065.000622,13598770500.30234,21894850277.26371
2015-04-01,3,13846694397.0,13845142108.262512,13812140717.315935,21717617770.849983
2015-05-01,3,13586956224.0,13604543669.334734,13573438027.812054,21915892284.23146
2015-06-01,3,13610916537.0,13629361056.49205,13735601691.57318,21781193669.870552
2015-07-01,3,14322958353.0,14328403744.437351,14322424539.291023,21293758799.261368
2015-08-01,3,13125503297.0,13126870636.249348,13141427790.62028,22274734573.49533
2015-09-01,3,13861045488.0,13857073146.677069,13858363490.239107,21679223575.009407
2015-10-01,3,13554712255.0,13638035111.690315,13607461616.592876,21887631142.628784
