month,link_id,lane_direction,from_node,to_node,mode,source,confidence,faf_state,faf_zone,border_state_1,border_state_2,faf_country,faf_stfips,faf_county_name,capacity,unit_cost,transit_days,reliability
2022-01,1003521,BA,FAF_LINK_1003521_B,FAF_LINK_1003521_A,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,0.0887137,0.16187465971997558,1,0.9985008054783819
2022-01,1003522,AB,FAF_LINK_1003522_A,FAF_LINK_1003522_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,1.83184,0.17622991090924972,1,0.6375409373923272
2022-01,1003522,AB,FAF_LINK_1003522_A,FAF_LINK_1003522_B,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,0.0884481,0.1639142050535851,1,0.9985008054783819
2022-01,1003522,BA,FAF_LINK_1003522_B,FAF_LINK_1003522_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,3.91474,0.20932603442374206,1,0.6375409373923272
2022-01,1003522,BA,FAF_LINK_1003522_B,FAF_LINK_1003522_A,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,0.0887137,0.16187465971997558,1,0.9985008054783819
2022-01,1003536,AB,FAF_LINK_1003536_A,FAF_LINK_1003536_B,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,0.00144174,0.2537711376531136,1,0.038894285852255406
2022-01,1003536,BA,FAF_LINK_1003536_B,FAF_LINK_1003536_A,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,0.0726946,0.26243765011431386,1,0.038894285852255406
2022-01,1003536,BA,FAF_LINK_1003536_B,FAF_LINK_1003536_A,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,0.000574696,0.1581021966396147,1,0.0
2022-01,1003537,AB,FAF_LINK_1003537_A,FAF_LINK_1003537_B,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,1.19311,0.1895533521636731,1,0.9857352953677966
2022-01,1003537,AB,FAF_LINK_1003537_A,FAF_LINK_1003537_B,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,0.0191842,0.1637248360630102,1,0.8776740781407265
2022-01,1003537,BA,FAF_LINK_1003537_B,FAF_LINK_1003537_A,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,1.15955,0.20969686516320987,1,0.9857352953677966
2022-01,1003537,BA,FAF_LINK_1003537_B,FAF_LINK_1003537_A,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,0.0245318,0.15232840639496492,1,0.8776740781407265
2022-01,1003539,AB,FAF_LINK_1003539_A,FAF_LINK_1003539_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,1.19311,0.1895533521636731,1,0.9857352953677966
2022-01,1003539,AB,FAF_LINK_1003539_A,FAF_LINK_1003539_B,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,0.0191842,0.1637248360630102,1,0.8776740781407265
2022-01,1003539,BA,FAF_LINK_1003539_B,FAF_LINK_1003539_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,1.15955,0.20969686516320987,1,0.9857352953677966
2022-01,1003539,BA,FAF_LINK_1003539_B,FAF_LINK_1003539_A,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,0.0245318,0.15232840639496492,1,0.8776740781407265
2022-01,1003564,AB,FAF_LINK_1003564_A,FAF_LINK_1003564_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,0.0726946,0.26243765011431386,1,0.038894285852255406
2022-01,1003564,AB,FAF_LINK_1003564_A,FAF_LINK_1003564_B,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,0.000574696,0.1581021966396147,1,0.0
2022-01,1003564,BA,FAF_LINK_1003564_B,FAF_LINK_1003564_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,JACKSON,0.00144174,0.2537711376531136,1,0.038894285852255406
2022-01,1003777,AB,FAF_LINK_1003777_A,FAF_LINK_1003777_B,truck,faf5_domestic_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,146.941,0.15933674059656597,1,0.0
2022-01,1003777,AB,FAF_LINK_1003777_A,FAF_LINK_1003777_B,truck,faf5_import_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,29.7826,0.13941932537790522,1,0.0
2022-01,1003778,AB,FAF_LINK_1003778_A,FAF_LINK_1003778_B,truck,faf5_domestic_2022_observed,high,IA,190,IA,SD,USA,19,WOODBURY,214.533,0.1497471251509092,1,0.0
2022-01,1003778,AB,FAF_LINK_1003778_A,FAF_LINK_1003778_B,truck,faf5_import_2022_observed,high,IA,190,IA,SD,USA,19,WOODBURY,3.11309,0.14267432036979336,1,0.0
2022-01,1003779,AB,FAF_LINK_1003779_A,FAF_LINK_1003779_B,truck,faf5_domestic_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,1.28672,0.23853285874160654,1,0.0
2022-01,1003779,AB,FAF_LINK_1003779_A,FAF_LINK_1003779_B,truck,faf5_import_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,0.0593914,0.16891502810171172,1,0.0
2022-01,1003780,AB,FAF_LINK_1003780_A,FAF_LINK_1003780_B,truck,faf5_domestic_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,6.01497,0.17835001670831277,1,0.15036543149514403
2022-01,1003780,AB,FAF_LINK_1003780_A,FAF_LINK_1003780_B,truck,faf5_import_2022_observed,high,IA,190,IA,NE,USA,19,WOODBURY,1.77977,0.10599515667754822,1,0.05746859595877252
